"Incident ID",Year,Month,Day,Country,Region,District,City,UN,INGO,LNGO/NRCS,ICRC,IFRC,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,"Actor type","Actor name",Details,Verified,Source
35,1997,,,,,,,0,0,0,2,0,0,1,0,0,1,0,1,0,1,1,1,0,2,0,0,2,Unknown,Unknown,Unknown,,,Unknown,Unknown,"1 ICRC international staff wounded and 1 national staff killed, sometime in 1997",Yes,"Focal Point"
1,1997,1,,Cambodia,"Banteay Meanchey",,,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,14.07092855,103.099916,Unknown,Unknown,"1 ICRC national staff killed while working in Banteay Meanchey province.",Archived,Archived
2,1997,1,,Rwanda,Northern,Musanze,Ruhengeri,0,4,0,0,0,0,0,0,0,0,3,1,0,4,3,1,0,4,3,1,0,Shooting,Raid,Office/compound,-1.49984,29.63497,Unknown,Unknown,"3 INGO international (Spanish) staff killed, 1 INGO international (US) staff gravely wounded during armed raid on INGO compound in Ruhengeri, Rwanda.",Archived,Archived
3,1997,2,,Tajikistan,,,,4,0,0,2,0,0,0,0,4,4,0,0,2,2,0,0,6,6,0,0,6,Kidnapping,Unknown,Unknown,38.6281733,70.8156541,Unknown,Unknown,"3 UN national staff, 1 UN international (Nigerian) staff, 1 ICRC international staff and 1 ICRC national staff kidnapped along with other (not included) UN staff, journalist and Tajik govt rep; released 48 hours later.",Archived,Archived
4,1997,2,,Somalia,"Lower Juba",Kismayo,Kismayo,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,Unknown,Unknown,Unknown,-0.358216,42.545087,"Non-state armed group: Regional","Al-Itihaad al-Islamiya","1 INGO international staff killed by Al ittihad militia in Kismayo.",Archived,Archived
5,1997,2,14,Rwanda,Kigali,Kigali,Kigali,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,"Individual attack",Unknown,-1.9508511,30.0615075,Unknown,Unknown,"1 UN national staff shot and killed in Kigali Feb 14.",Archived,Archived
7,1997,5,,"DR Congo",,,,0,0,10,0,0,0,10,0,0,10,0,0,0,0,10,0,0,10,0,0,10,Unknown,Combat/Crossfire,Unknown,-2.9814344,23.8222636,"Non-state armed group: National","Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL)","10 NRCS staff first aid workers killed in fighting between Zairean troops and rebels from the Alliance of Democratic Forces for the Liberation of Congo-Zaire (ADFL).",Archived,Archived
6,1997,5,7,"Sierra Leone",,,,3,0,0,0,0,0,1,2,0,3,0,0,0,0,1,2,0,3,1,0,2,Unknown,Ambush,Road,8.6400349,-11.8400269,Unknown,Unknown,"1 UN national staff driver killed and 2 UN national staff wounded when UN assessment team ambushed May 7.",Archived,Archived
11,1997,6,,Somalia,Gedo,Baardheere,Tulo-Burago,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Kidnap-killing,Ambush,Road,2.25,41.16667,"Non-state armed group: Regional","Al-Itihaad al-Islamiya","1 UN national staff beheaded by Al-Ittihad militia after ambush near Tulo-Burago village in Gedo region. Another 3 UN national staff (not included) bound, questioned and later released. The victim, a senior SNF Commander, was the apparent target of the Al-Ittihad militia.",Yes,"Focal Point"
12,1997,6,8,Rwanda,Northern,Musanze,Ruhengeri,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Combat/Crossfire,Unknown,-1.49984,29.63497,Unknown,Unknown,"1 INGO national staff killed when he was among a group of villagers attacked by insurgents near Ruhengeri on June 8.",Archived,Archived
8,1997,6,14,Rwanda,Northern,Musanze,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack",Home,-1.49984,29.63497,"Non-state armed group: Unknown","Not applicable","1 UN national staff shot and killed in Ruhengeri June 14. The staffer, his wife, young child and another relative were killed at night in their home in Rubange secteur.",Archived,Archived
9,1997,6,17,Rwanda,Northern,Musanze,Ruhengeri,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Detention,Unknown,-1.49984,29.63497,Unknown,Unknown,"1 UN national staff shot and killed in Ruhengeri June 17. Arrested by soldiers on 9 June 1997. The mutilated body was found in the bush near Ruhengeri town, on 13 June and had been tortured and shot through the head.",Archived,Archived
10,1997,6,19,Rwanda,Northern,Musanze,"Ruhengeri, Kigombe",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Raid,Home,-1.49984,29.63497,Unknown,Unknown,"1 UN national staff driver was shot and killed in Ruhengeri along with his wife, their son aged 7 and their daughter aged 6. They were shot through the windows of their house in Kigombe.",Archived,Archived
14,1997,6,19,Somalia,"Lower Juba",Kismayo,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,-0.36667,42.53333,"Non-state armed group: Regional","Al-Itihaad al-Islamiya","1 INGO driver killed by Al Ittihad militia in Kismayo on June 19.",Archived,Archived
13,1997,6,20,Somalia,Bay,Baydhaba,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,Shooting,"Individual attack","Project site",3.1199508,43.6444625,Unknown,Unknown,"1 INGO international staffer (Portuguese) shot in Baidoa hospital apparently in revenge for shooter's brother who died in his care.",Archived,Archived
16,1997,7,,Chechnya,,,,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Unknown,"Individual attack",Home,43.3976147,45.6985005,Unknown,Unknown,"1 INGO local staffer killed in home attack.",Archived,Archived
17,1997,7,,Chechnya,,,,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,1,1,0,Kidnapping,Unknown,Unknown,43.3976147,45.6985005,Unknown,Unknown,"2 INGO international (British) staff kidnapped. Released 15 months later after ransom paid.",Archived,Archived
18,1997,7,,Chechnya,Ingushetia,Nazranovsky,Nazran,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,43.25,45.83333,Unknown,Unknown,"1 INGO international staff kidnapped in Nazran and held 3.6 months before escaping.",Archived,Archived
19,1997,7,,Somalia,Bakool,Tiyeeglow,,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,Kidnapping,Unknown,Unknown,4.01897,44.51112,"Staff member","Security guard","1 donor agency international staff official kidnapped by his security guards at Teyeglow. Escaped two days later.",Archived,Archived
15,1997,7,17,Bangladesh,Narayanganj,Siddhirganj,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack",Unknown,23.61352,90.50298,Unknown,Unknown,"1 UN national staff shot and killed in Siddhirganj, July 17.",Archived,Archived
20,1997,8,,Somalia,"Lower Juba",Kismayo,,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,0,2,0,Unknown,"Individual attack",Unknown,-0.36667,42.53333,"Non-state armed group: Subnational",Clan,"2 INGO national nurses running a health clinic killed in apparent clan-related revenge killing in Kismayo.",Archived,Archived
21,1997,8,,Chechnya,Dagestan,,,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,4,0,0,Kidnapping,Unknown,Unknown,43.0574916,47.1332224,Unknown,Unknown,"4 INGO international staff (French) kidnapped in Dagestan and held 3.5 months. Ransom negotiated by French govt.",Archived,Archived
23,1997,9,,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,2.033333,45.35,Unknown,Unknown,"1 UN national staff kidnapped in Mogadishu over FFW project dispute.",Archived,Archived
24,1997,9,,"South Sudan","Central Equatoria",Juba,Juba,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack",Unknown,4.824871,31.607858,Unknown,Unknown,"1 UN national staff shot and killed in Juba.",Archived,Archived
22,1997,9,24,Ethiopia,Jarar,Daror,Ogaden,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,1,0,1,Shooting,"Individual attack",Unknown,8.53056,44.795,Unknown,Unknown,"2 UN national staffers shot dead in apparent robbery attempt in Ogaden region Sept 24.",Archived,Archived
25,1997,10,,Angola,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,-11.8775768,17.5691241,Unknown,Unknown,"1 UN national staff driver killed in ambush.",Archived,Archived
26,1997,10,,Rwanda,,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,-1.9646631,30.0644358,Unknown,Unknown,"1 UN national staff driver killed in ambush.",Archived,Archived
28,1997,10,,Angola,,,,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,2,0,0,Unknown,Ambush,Unknown,-11.8775768,17.5691241,Unknown,Unknown,"2 INGO international (German and Zimbabwean) staff killed in ambush.",Archived,Archived
27,1997,10,18,Afghanistan,Balkh,"Mazar-e Sharif","Mazar-e Sharif (200km W of city on Anchoy-Shibirgan road)",0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,Road,36.70904,67.11087,Unknown,Unknown,"1 ICRC national staff killed by stray bullet when three ICRC cars caught in crossfire Anchoy-Shibirgan road 200 kilometres west of Mazar-i-Sharif on Oct 18.",Archived,Archived
